ID,Status Bancario,Duracion del Credito,Historial Crediticio,Proposito del Credito,Monto Solicitado,Ahorro,Antiguedad Empleo,Tasa de pago,Sexo y Estado Civil,Deudores o Avales,Tiempo de Residencia,Propiedad,Edad,Otros pagos,Alojamiento,Credito Otorgados,Tipo de Empleo,Personas Responsables,Telefono,Extranjero
12,... <0 DM,48,existing credits paid back duly till now,business,4308,... <100 DM,... < 1 year,3,divorced/separated/married,none,4,building society savings agreement,24,none,rent,1,skilled employee / official,1,none,yes
13,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1567,... <100 DM,1<= ... < 4 years,1,divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
14,... <0 DM,24,critical account,car (new),1199,... <100 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes
15,... <0 DM,15,existing credits paid back duly till now,car (new),1403,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes
16,... <0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes
17,no checking account,24,critical account,radio/television,2424,unknown/ no savings account,.. >= 7 years,4,single,none,4,building society savings agreement,53,none,own,2,skilled employee / official,1,none,yes
18,... <0 DM,30,no credits taken,business,8072,unknown/ no savings account,... < 1 year,2,single,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes
19,0 <= ... <200 DM,24,existing credits paid back duly till now,car (used),12579,... <100 DM,.. >= 7 years,4,divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
20,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,.. >= 7 years,3,single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
21,no checking account,9,critical account,car (new),2134,... <100 DM,1<= ... < 4 years,4,single,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes
22,... <0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1<= ... < 4 years,2,single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes
23,... <0 DM,10,critical account,car (new),2241,... <100 DM,... < 1 year,1,single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no
24,0 <= ... <200 DM,12,critical account,car (used),1804,100 <= ... <500 DM,... < 1 year,3,single,none,4,building society savings agreement,44,none,own,1,skilled employee / official,1,none,yes
25,no checking account,10,critical account,furniture/equipment,2069,unknown/ no savings account,1<= ... < 4 years,2,married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no
26,... <0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,... <100 DM,1<= ... < 4 years,1,single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
27,no checking account,6,no credits taken,radio/television,426,... <100 DM,.. >= 7 years,4,married/widowed,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes
28,... >= 200 DM ,12,all credits at this bank paid back duly,radio/television,409,.. >= 1000 DM,1<= ... < 4 years,3,divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes
29,0 <= ... <200 DM,7,existing credits paid back duly till now,radio/television,2415,... <100 DM,1<= ... < 4 years,3,single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes
30,... <0 DM,60,delay in paying off in the past,business,6836,... <100 DM,.. >= 7 years,3,single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
31,0 <= ... <200 DM,18,existing credits paid back duly till now,business,1913,.. >= 1000 DM,... < 1 year,3,married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
32,... <0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
33,0 <= ... <200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... <500 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
34,no checking account,12,critical account,business,1264,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes
35,... >= 200 DM ,12,existing credits paid back duly till now,furniture/equipment,1474,... <100 DM,... < 1 year,4,divorced/separated/married,none,1,building society savings agreement,33,bank,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
36,0 <= ... <200 DM,45,critical account,radio/television,4746,... <100 DM,... < 1 year,4,single,none,2,building society savings agreement,25,none,own,2,unskilled - resident,1,none,yes
37,no checking account,48,critical account,education,6110,... <100 DM,1<= ... < 4 years,1,single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
38,... >= 200 DM ,18,existing credits paid back duly till now,radio/television,2100,... <100 DM,1<= ... < 4 years,4,single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes
39,... >= 200 DM ,10,existing credits paid back duly till now,domestic appliances,1225,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
40,0 <= ... <200 DM,9,existing credits paid back duly till now,radio/television,458,... <100 DM,1<= ... < 4 years,4,single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes
41,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,.. >= 7 years,4,single,none,2,"car or other, not in attribute 6",30,bank,own,1,management/ self-employed,1,none,yes
42,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1<= ... < 4 years,3,divorced/separated,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
43,0 <= ... <200 DM,18,delay in paying off in the past,repairs,6204,... <100 DM,1<= ... < 4 years,2,single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes
44,... <0 DM,30,critical account,car (used),6187,100 <= ... <500 DM,4<= ... < 7 years,1,married/widowed,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes
45,... <0 DM,48,critical account,car (used),6143,... <100 DM,.. >= 7 years,4,divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes
46,no checking account,11,critical account,car (new),1393,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,"car or other, not in attribute 6",35,none,own,2,management/ self-employed,1,none,yes
47,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,.. >= 7 years,4,single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes
48,... <0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,divorced/separated/married,none,2,building society savings agreement,23,none,rent,1,unemployed/ unskilled- non-resident,1,"yes, registered under the customers name",yes
49,no checking account,11,critical account,car (new),7228,... <100 DM,1<= ... < 4 years,1,single,none,4,building society savings agreement,39,none,own,2,unskilled - resident,1,none,yes
50,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... <500 DM,1<= ... < 4 years,4,divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
51,0 <= ... <200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,single,none,2,building society savings agreement,29,bank,own,1,unskilled - resident,1,none,yes
52,0 <= ... <200 DM,27,delay in paying off in the past,car (used),5965,... <100 DM,.. >= 7 years,1,single,none,2,"car or other, not in attribute 6",30,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
53,no checking account,12,existing credits paid back duly till now,radio/television,1262,... <100 DM,1<= ... < 4 years,3,single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
54,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1<= ... < 4 years,2,single,none,1,building society savings agreement,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
55,0 <= ... <200 DM,36,delay in paying off in the past,car (new),2225,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
56,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1<= ... < 4 years,1,single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes
57,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,single,none,1,unknown / no property,52,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
58,no checking account,36,critical account,radio/television,9566,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes
59,... >= 200 DM ,18,existing credits paid back duly till now,car (new),1961,... <100 DM,.. >= 7 years,3,divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,management/ self-employed,1,none,yes
60,... <0 DM,36,critical account,furniture/equipment,6229,... <100 DM,... < 1 year,4,divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes
61,0 <= ... <200 DM,9,existing credits paid back duly till now,business,1391,... <100 DM,1<= ... < 4 years,2,married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
62,0 <= ... <200 DM,15,critical account,radio/television,1537,unknown/ no savings account,.. >= 7 years,4,single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
63,0 <= ... <200 DM,36,no credits taken,business,1953,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,61,none,for free,1,management/ self-employed,1,"yes, registered under the customers name",yes
64,0 <= ... <200 DM,48,no credits taken,business,14421,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
65,no checking account,24,existing credits paid back duly till now,radio/television,3181,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,building society savings agreement,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
66,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,.. >= 7 years,4,single,none,4,building society savings agreement,48,none,own,4,skilled employee / official,2,"yes, registered under the customers name",yes
67,no checking account,12,existing credits paid back duly till now,radio/television,2171,... <100 DM,... < 1 year,2,divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
68,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),1007,.. >= 1000 DM,1<= ... < 4 years,4,married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes
69,no checking account,36,existing credits paid back duly till now,education,1819,... <100 DM,1<= ... < 4 years,4,single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
70,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1<= ... < 4 years,4,divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
71,no checking account,36,existing credits paid back duly till now,car (used),8133,... <100 DM,1<= ... < 4 years,1,divorced/separated/married,none,2,building society savings agreement,30,bank,own,1,skilled employee / official,1,none,yes
72,no checking account,7,critical account,radio/television,730,unknown/ no savings account,.. >= 7 years,4,single,none,2,building society savings agreement,46,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes
73,... <0 DM,8,critical account,others,1164,... <100 DM,.. >= 7 years,3,single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed,2,"yes, registered under the customers name",yes
74,0 <= ... <200 DM,42,critical account,business,5954,... <100 DM,4<= ... < 7 years,2,divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes
75,... <0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,.. >= 7 years,4,single,none,4,unknown / no property,40,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
76,... <0 DM,12,critical account,car (used),1526,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,66,none,for free,2,management/ self-employed,1,none,yes
77,... <0 DM,42,existing credits paid back duly till now,radio/television,3965,... <100 DM,... < 1 year,4,single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
78,0 <= ... <200 DM,11,delay in paying off in the past,radio/television,4771,... <100 DM,4<= ... < 7 years,2,single,none,4,building society savings agreement,51,none,own,1,skilled employee / official,1,none,yes
79,no checking account,54,no credits taken,car (used),9436,unknown/ no savings account,1<= ... < 4 years,2,single,none,2,building society savings agreement,39,none,own,1,unskilled - resident,2,none,yes
80,0 <= ... <200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... <100 DM,... < 1 year,2,married/widowed,none,1,building society savings agreement,22,none,own,1,skilled employee / official,1,none,yes
81,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,divorced/separated/married,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
82,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,.. >= 7 years,4,single,none,3,building society savings agreement,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
83,no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... <500 DM,1<= ... < 4 years,3,divorced/separated/married,none,4,building society savings agreement,24,none,rent,1,unskilled - resident,1,none,yes
84,... <0 DM,24,existing credits paid back duly till now,others,1755,... <100 DM,.. >= 7 years,4,divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
85,... <0 DM,10,existing credits paid back duly till now,radio/television,2315,... <100 DM,.. >= 7 years,3,single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes
86,no checking account,12,critical account,business,1412,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
87,0 <= ... <200 DM,18,critical account,furniture/equipment,1295,... <100 DM,... < 1 year,4,divorced/separated/married,none,1,building society savings agreement,27,none,own,2,skilled employee / official,1,none,yes
88,0 <= ... <200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... <500 DM,1<= ... < 4 years,1,single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
89,... <0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... <500 DM,4<= ... < 7 years,4,single,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed,2,"yes, registered under the customers name",yes
90,... <0 DM,12,no credits taken,repairs,1108,... <100 DM,4<= ... < 7 years,4,single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes
91,no checking account,12,critical account,radio/television,618,... <100 DM,.. >= 7 years,4,single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes
92,... <0 DM,12,critical account,car (used),1409,... <100 DM,.. >= 7 years,4,single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes
93,no checking account,12,critical account,radio/television,797,unknown/ no savings account,.. >= 7 years,4,divorced/separated/married,none,3,building society savings agreement,33,bank,own,1,unskilled - resident,2,none,yes
94,... >= 200 DM ,24,critical account,furniture/equipment,3617,unknown/ no savings account,.. >= 7 years,4,single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes
95,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),1318,.. >= 1000 DM,.. >= 7 years,4,single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
96,0 <= ... <200 DM,54,no credits taken,business,15945,... <100 DM,... < 1 year,3,single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
97,no checking account,12,critical account,education,2012,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes
98,0 <= ... <200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... <500 DM,1<= ... < 4 years,4,single,none,4,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes
99,0 <= ... <200 DM,36,critical account,radio/television,2337,... <100 DM,.. >= 7 years,4,single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes
100,0 <= ... <200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4<= ... < 7 years,3,single,none,4,building society savings agreement,36,bank,rent,2,management/ self-employed,2,"yes, registered under the customers name",yes
101,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... <500 DM,.. >= 7 years,4,married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes
102,0 <= ... <200 DM,36,existing credits paid back duly till now,radio/television,2323,... <100 DM,4<= ... < 7 years,4,single,none,4,"car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes
103,no checking account,6,delay in paying off in the past,radio/television,932,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes
104,0 <= ... <200 DM,9,critical account,furniture/equipment,1919,... <100 DM,4<= ... < 7 years,4,single,none,3,"car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
105,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,married/widowed,none,4,"car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
106,0 <= ... <200 DM,24,critical account,others,11938,... <100 DM,1<= ... < 4 years,2,single,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/ self-employed,2,"yes, registered under the customers name",yes
107,no checking account,18,all credits at this bank paid back duly,car (new),6458,... <100 DM,.. >= 7 years,2,single,none,4,unknown / no property,39,bank,own,2,management/ self-employed,2,"yes, registered under the customers name",yes
108,0 <= ... <200 DM,12,existing credits paid back duly till now,car (new),6078,... <100 DM,4<= ... < 7 years,2,single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes
109,... <0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,divorced/separated/married,none,2,building society savings agreement,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
110,0 <= ... <200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,.. >= 7 years,1,married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
111,0 <= ... <200 DM,6,delay in paying off in the past,business,1449,100 <= ... <500 DM,.. >= 7 years,1,divorced/separated,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,none,yes
112,... >= 200 DM ,15,existing credits paid back duly till now,education,392,... <100 DM,... < 1 year,4,divorced/separated/married,none,4,building society savings agreement,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
113,0 <= ... <200 DM,18,existing credits paid back duly till now,car (new),6260,... <100 DM,4<= ... < 7 years,3,single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes
114,no checking account,36,critical account,car (new),7855,... <100 DM,1<= ... < 4 years,4,divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
115,... <0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,.. >= 7 years,3,married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes
116,no checking account,48,critical account,radio/television,3578,unknown/ no savings account,.. >= 7 years,4,single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
117,... <0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4<= ... < 7 years,4,divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
118,... <0 DM,10,critical account,furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no
119,... <0 DM,33,critical account,furniture/equipment,4281,500 <= ... < 1000 DM,1<= ... < 4 years,1,divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes
120,0 <= ... <200 DM,12,critical account,car (new),2366,500 <= ... < 1000 DM,4<= ... < 7 years,3,divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
121,... <0 DM,21,existing credits paid back duly till now,radio/television,1835,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
122,no checking account,24,critical account,car (used),3868,... <100 DM,.. >= 7 years,4,divorced/separated/married,none,2,"car or other, not in attribute 6",41,none,rent,2,management/ self-employed,1,"yes, registered under the customers name",yes
123,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... <100 DM,1<= ... < 4 years,3,single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes
124,... >= 200 DM ,10,critical account,car (new),781,... <100 DM,.. >= 7 years,4,single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
125,0 <= ... <200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes
126,... <0 DM,12,critical account,car (new),2121,... <100 DM,1<= ... < 4 years,4,single,none,2,building society savings agreement,30,none,own,2,skilled employee / official,1,none,yes
127,... <0 DM,12,existing credits paid back duly till now,radio/television,701,... <100 DM,1<= ... < 4 years,4,married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes
128,0 <= ... <200 DM,12,existing credits paid back duly till now,repairs,639,... <100 DM,1<= ... < 4 years,4,single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
129,0 <= ... <200 DM,12,critical account,car (used),1860,... <100 DM,unemployed,4,single,none,2,"car or other, not in attribute 6",34,none,own,2,management/ self-employed,1,"yes, registered under the customers name",yes
130,... <0 DM,12,critical account,car (new),3499,... <100 DM,1<= ... < 4 years,3,divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes
131,0 <= ... <200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4<= ... < 7 years,1,divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
132,... <0 DM,36,delay in paying off in the past,education,6887,... <100 DM,1<= ... < 4 years,4,single,none,3,building society savings agreement,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
133,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... <100 DM,... < 1 year,2,single,none,3,building society savings agreement,27,bank,own,2,unskilled - resident,1,none,yes
134,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... <100 DM,1<= ... < 4 years,4,single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes
135,no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... <500 DM,4<= ... < 7 years,2,divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
136,no checking account,12,critical account,radio/television,1240,unknown/ no savings account,.. >= 7 years,4,divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
137,no checking account,27,delay in paying off in the past,car (used),8613,.. >= 1000 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
138,0 <= ... <200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1<= ... < 4 years,4,single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes
139,0 <= ... <200 DM,15,critical account,radio/television,2728,unknown/ no savings account,4<= ... < 7 years,4,single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",yes
140,... >= 200 DM ,12,existing credits paid back duly till now,radio/television,1881,... <100 DM,1<= ... < 4 years,2,divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
141,... >= 200 DM ,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM,... < 1 year,2,married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled- non-resident,1,none,no
142,0 <= ... <200 DM,36,existing credits paid back duly till now,radio/television,4795,... <100 DM,... < 1 year,4,divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed,1,"yes, registered under the customers name",yes
143,... <0 DM,27,existing credits paid back duly till now,radio/television,3416,... <100 DM,1<= ... < 4 years,3,single,none,2,"car or other, not in attribute 6",27,none,own,1,management/ self-employed,1,none,yes
144,... <0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... <100 DM,1<= ... < 4 years,2,single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes
